problem,param1_name,param1_value,param2_name,param2_value,param3_name,param3_value,param4_name,param4_value,param5_name,param5_value,x0,x1,tolerance,max_iterations
diode,I_s,1e-12,n,1.5,V_t,0.02585,I,0.001,NA,0,0.5,0.8,1e-6,100
diode,I_s,2e-12,n,1.2,V_t,0.02585,I,0.002,NA,0,0.6,0.9,1e-6,100
diode,I_s,5e-13,n,1.7,V_t,0.02585,I,0.0005,NA,0,0.7,0.75,1e-6,100
diode,I_s,1e-13,n,1.0,V_t,0.02585,I,0.0001,NA,0,0.4,0.7,1e-6,100
diode,I_s,3e-12,n,2.0,V_t,0.02585,I,0.003,NA,0,0.6,0.8,1e-6,100
diode,I_s,8e-13,n,1.3,V_t,0.02585,I,0.0008,NA,0,0.5,0.75,1e-6,100
diode,I_s,1.5e-12,n,1.8,V_t,0.02585,I,0.0015,NA,0,0.65,0.85,1e-6,100
diode,I_s,4e-13,n,1.1,V_t,0.02585,I,0.0004,NA,0,0.45,0.7,1e-6,100
diode,I_s,6e-12,n,1.6,V_t,0.02585,I,0.004,NA,0,0.7,0.9,1e-6,100
diode,I_s,2.5e-13,n,1.4,V_t,0.02585,I,0.00025,NA,0,0.55,0.8,1e-6,100
diode,I_s,1e-11,n,1.9,V_t,0.02585,I,0.005,NA,0,0.6,0.85,1e-6,100
diode,I_s,7e-13,n,1.2,V_t,0.02585,I,0.0007,NA,0,0.5,0.75,1e-6,100
diode_resistor,I_s,1e-12,n,1.5,V_t,0.02585,R,1000,Vs,5,0.6,0.8,1e-6,100
diode_resistor,I_s,2e-12,n,1.3,V_t,0.02585,R,2200,Vs,3.3,0.5,0.7,1e-7,100
diode_resistor,I_s,5e-13,n,1.7,V_t,0.02585,R,4700,Vs,12,0.7,0.9,1e-6,100
diode_resistor,I_s,1e-13,n,1.1,V_t,0.02585,R,680,Vs,3.3,0.4,0.6,1e-6,100
diode_resistor,I_s,3e-12,n,2.0,V_t,0.02585,R,1500,Vs,9,0.6,0.8,1e-6,100
diode_resistor,I_s,8e-13,n,1.4,V_t,0.02585,R,3300,Vs,6,0.5,0.75,1e-6,100
diode_resistor,I_s,1.5e-12,n,1.8,V_t,0.02585,R,560,Vs,5,0.65,0.85,1e-6,100
diode_resistor,I_s,4e-13,n,1.2,V_t,0.02585,R,10000,Vs,15,0.7,0.9,1e-6,100
diode_resistor,I_s,6e-12,n,1.6,V_t,0.02585,R,820,Vs,3.3,0.45,0.7,1e-6,100
diode_resistor,I_s,2.5e-13,n,1.3,V_t,0.02585,R,2700,Vs,9,0.55,0.8,1e-6,100
diode_resistor,I_s,1e-11,n,1.9,V_t,0.02585,R,1200,Vs,12,0.6,0.85,1e-6,100
diode_resistor,I_s,7e-13,n,1.5,V_t,0.02585,R,390,Vs,3.3,0.5,0.75,1e-6,100
diode_resistor,I_s,9e-13,n,1.1,V_t,0.02585,R,6800,Vs,24,0.8,1.0,1e-6,100
diode_resistor,I_s,1.2e-12,n,1.7,V_t,0.02585,R,470,Vs,5,0.6,0.8,1e-6,100
diode_resistor,I_s,3.5e-13,n,1.4,V_t,0.02585,R,5600,Vs,18,0.7,0.9,1e-6,100
diode_resistor,I_s,1.8e-12,n,1.6,V_t,0.02585,R,910,Vs,6,0.55,0.75,1e-6,100
diode_resistor,I_s,4.5e-13,n,1.8,V_t,0.02585,R,12000,Vs,30,0.8,1.1,1e-6,100
diode_resistor,I_s,8.5e-13,n,1.2,V_t,0.02585,R,330,Vs,3.3,0.45,0.65,1e-6,100
diode_resistor,I_s,2.8e-12,n,2.1,V_t,0.02585,R,1800,Vs,15,0.7,0.9,1e-6,100
