problem_type,param1_name,param1_value,param2_name,param2_value,param3_name,param3_value,param4_name,param4_value,param5_name,param5_value,param6_name,param6_value,param7_name,param7_value,param8_name,param8_value,param9_name,param9_value,param10_name,param10_value,xl_init,xu_init,tolerance,max_iterations,solution,iterations,converged,error_squared,time_ms
diode,I_s,1e-12,n,1.5,V_t,0.02585,I,0.001,NA,0,,,,,,,,,,,0.5,0.8,1e-06,100,0.665836,14,yes,9.07224e-07,0
diode,I_s,2e-12,n,1.2,V_t,0.02585,I,0.002,NA,0,,,,,,,,,,,0.6,0.9,1e-06,100,0.631672,18,yes,3.73508e-09,0
diode,I_s,5e-13,n,1.7,V_t,0.02585,I,0.0005,NA,0,,,,,,,,,,,0.7,0.75,1e-06,100,0.727639,12,yes,2.41709e-07,0
diode,I_s,1e-13,n,1,V_t,0.02585,I,0.0001,NA,0,,,,,,,,,,,0.4,0.7,1e-06,100,0.482918,15,yes,3.11393e-09,0
diode,I_s,3e-12,n,2,V_t,0.02585,I,0.003,NA,0,,,,,,,,,,,0.6,0.8,1e-06,100,0.710557,14,yes,8.97845e-06,0
diode,I_s,8e-13,n,1.3,V_t,0.02585,I,0.0008,NA,0,,,,,,,,,,,0.5,0.75,1e-06,100,0.638196,14,yes,3.24956e-07,0
diode,I_s,1.5e-12,n,1.8,V_t,0.02585,I,0.0015,NA,0,,,,,,,,,,,0.65,0.85,1e-06,100,0.760557,14,yes,2.17584e-06,0
diode,I_s,4e-13,n,1.1,V_t,0.02585,I,0.0004,NA,0,,,,,,,,,,,0.45,0.7,1e-06,100,0.571885,15,yes,8.20265e-09,0
diode,I_s,6e-12,n,1.6,V_t,0.02585,I,0.004,NA,0,,,,,,,,,,,0.7,0.9,1e-06,100,0.810557,14,yes,1.77218e-06,0
diode,I_s,2.5e-13,n,1.4,V_t,0.02585,I,0.00025,NA,0,,,,,,,,,,,0.55,0.8,1e-06,100,0.688196,14,yes,3.19786e-08,0
diode,I_s,1e-11,n,1.9,V_t,0.02585,I,0.005,NA,0,,,,,,,,,,,0.6,0.85,1e-06,100,0.738196,14,yes,2.45327e-05,0
diode,I_s,7e-13,n,1.2,V_t,0.02585,I,0.0007,NA,0,,,,,,,,,,,0.5,0.75,1e-06,100,0.621885,15,yes,4.2816e-08,0
diode_resistor,I_s,1e-12,n,1.5,V_t,0.02585,R,1000,Vs,5,,,,,,,,,,,0.6,0.8,1e-06,100,0.710557,14,yes,1.72154e-05,0
diode_resistor,I_s,2e-12,n,1.3,V_t,0.02585,R,2200,Vs,3.3,,,,,,,,,,,0.5,0.7,1e-07,100,0.610557,16,yes,9.74842e-07,0
diode_resistor,I_s,5e-13,n,1.7,V_t,0.02585,R,4700,Vs,12,,,,,,,,,,,0.7,0.9,1e-06,100,0.810557,14,yes,5.3316e-06,0
diode_resistor,I_s,1e-13,n,1.1,V_t,0.02585,R,680,Vs,3.3,,,,,,,,,,,0.4,0.6,1e-06,100,0.510557,14,yes,1.65893e-05,0
diode_resistor,I_s,3e-12,n,2,V_t,0.02585,R,1500,Vs,9,,,,,,,,,,,0.6,0.8,1e-06,100,0.710557,14,yes,3.04042e-05,0
diode_resistor,I_s,8e-13,n,1.4,V_t,0.02585,R,3300,Vs,6,,,,,,,,,,,0.5,0.75,1e-06,100,0.638196,14,yes,2.44184e-06,0
diode_resistor,I_s,1.5e-12,n,1.8,V_t,0.02585,R,560,Vs,5,,,,,,,,,,,0.65,0.85,1e-06,100,0.760557,14,yes,5.65836e-05,0
